,subsystem
479436.15.peg.486,"Metabolic:Transport, extracellular"
479436.15.peg.490,Metabolic:Tetrahydrobiopterin metabolism
479436.15.peg.491,Metabolic:Folate metabolism
479436.15.peg.492,Metabolic:Folate metabolism
479436.15.peg.493,Metabolic:Folate metabolism
479436.15.peg.495,Metabolic:Pyruvate metabolism
479436.15.peg.499,tRNA-Charging
479436.15.peg.500,Metabolic:Purine catabolism
479436.15.peg.503,Metabolic:Biotin metabolism
479436.15.peg.504,Metabolic:CoA synthesis
479436.15.peg.506,Transcription
479436.15.peg.507,tRNA-Charging
479436.15.peg.508,"Metabolic:Transport, extracellular"
479436.15.peg.509,Metabolic:Purine catabolism
479436.15.peg.511,tRNA-Charging
479436.15.peg.512,Metabolic:Pentose phosphate pathway
479436.15.peg.513,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.514,Metabolic:Aminosugar metabolism
479436.15.peg.528,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.529,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.530,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.531,Metabolic:Fatty acid synthesis
479436.15.peg.532,Metabolic:Aminosugar metabolism
479436.15.peg.535,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.538,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.539,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.540,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.541,Metabolic:Pentose and glucuronate interconversions
479436.15.peg.542,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.543,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.560,Metabolic:Pyrimidine synthesis
479436.15.peg.561,Metabolic:Pyrimidine synthesis
479436.15.peg.562,Metabolic:Pyrimidine synthesis
479436.15.peg.563,Metabolic:Pyrimidine synthesis
479436.15.peg.564,Metabolic:Pyrimidine synthesis
479436.15.peg.565,Metabolic:Pyrimidine synthesis
479436.15.peg.569,"Metabolic:Transport, extracellular"
479436.15.peg.571,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.574,tRNA-Charging
479436.15.peg.577,Translation
479436.15.peg.578,Metabolic:Exchange/demand reaction
479436.15.peg.594,Metabolic:Folate metabolism
479436.15.peg.600,"Metabolic:Transport, extracellular"
479436.15.peg.601,"Metabolic:Transport, extracellular"
479436.15.peg.603,Metabolic:Nucleotide salvage pathway
479436.15.peg.604,Metabolic:Cell wall biosynthesis
479436.15.peg.605,Metabolic:Pentose phosphate pathway
479436.15.peg.607,Metabolic:Urea cycle
479436.15.peg.608,Metabolic:Nucleotide interconversion
479436.15.peg.612,Translation
479436.15.peg.613,tRNA-Charging
479436.15.peg.619,"Metabolic:Transport, extracellular"
479436.15.peg.623,Translation
479436.15.peg.624,"Metabolic:Transport, extracellular"
479436.15.peg.625,Translation
479436.15.peg.629,"Metabolic:Transport, extracellular"
479436.15.peg.632,"Metabolic:Transport, extracellular"
479436.15.peg.645,Metabolic:Galactose metabolism
479436.15.peg.647,"Metabolic:Transport, extracellular"
479436.15.peg.648,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.649,Metabolic:Propanoate metabolism
479436.15.peg.653,Metabolic:Galactose metabolism
479436.15.peg.655,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.656,Metabolic:Galactose metabolism
479436.15.peg.660,"Metabolic:Transport, extracellular"
479436.15.peg.661,"Metabolic:Transport, extracellular"
479436.15.peg.662,"Metabolic:Transport, extracellular"
479436.15.peg.663,"Metabolic:Transport, extracellular"
479436.15.peg.664,"Metabolic:Transport, extracellular"
479436.15.peg.672,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.680,Metabolic:Pentose and glucuronate interconversions
479436.15.peg.683,Metabolic:Nucleotide interconversion
479436.15.peg.685,"Metabolic:Transport, extracellular"
479436.15.peg.691,tRNA-Charging
479436.15.peg.693,Metabolic:Cell wall biosynthesis
479436.15.peg.694,Metabolic:Fatty acid synthesis
479436.15.peg.696,Metabolic:Glycerophospholipid metabolism
479436.15.peg.697,Metabolic:Fatty acid synthesis
479436.15.peg.698,Metabolic:Biotin metabolism
479436.15.peg.700,Metabolic:Fatty acid synthesis
479436.15.peg.701,Metabolic:Exchange/demand reaction
479436.15.peg.703,Metabolic:Exchange/demand reaction
479436.15.peg.704,Post-translation
479436.15.peg.712,Translation
479436.15.peg.716,"Metabolic:Transport, extracellular"
479436.15.peg.738,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.743,"Metabolic:Transport, extracellular"
479436.15.peg.745,Metabolic:Citric acid cycle
479436.15.peg.748,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.749,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.750,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.751,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.752,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.753,Metabolic:Lipopolysaccharide biosynthesis
479436.15.peg.761,tRNA-Charging
479436.15.peg.762,Translation
479436.15.peg.763,Metabolic:Pyrimidine catabolism
479436.15.peg.765,Metabolic:Nucleotide interconversion
479436.15.peg.766,Metabolic:Pentose phosphate pathway
479436.15.peg.767,"Metabolic:Transport, extracellular"
479436.15.peg.768,Metabolic:Nucleotide interconversion
479436.15.peg.770,tRNA-Charging
479436.15.peg.772,Metabolic:CoA synthesis
479436.15.peg.776,Metabolic:Exchange/demand reaction
479436.15.peg.779,Translation
479436.15.peg.780,Translation
479436.15.peg.782,Metabolic:Pyrimidine synthesis
479436.15.peg.783,Metabolic:Vitamin B2 metabolism
479436.15.peg.784,Metabolic:Phenylalanine metabolism
479436.15.peg.788,"Metabolic:Transport, extracellular"
479436.15.peg.793,Post-translation
479436.15.peg.794,Translation
479436.15.peg.798,Metabolic:Pentose phosphate pathway
479436.15.peg.799,Metabolic:Pentose phosphate pathway
479436.15.peg.806,Metabolic:Arginine and proline metabolism
479436.15.peg.807,Metabolic:Arginine and proline metabolism
479436.15.peg.808,Metabolic:NAD metabolism
