,subsystem
411903.6.peg.1164,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411903.6.peg.1165,Metabolic:Arginine and proline metabolism
411903.6.peg.1166,Metabolic:Arginine and proline metabolism
411903.6.peg.1168,Metabolic:Pyrimidine catabolism
411903.6.peg.1172,tRNA-Charging
411903.6.peg.1173,tRNA-Charging
411903.6.peg.1174,tRNA-Charging
411903.6.peg.1175,tRNA-Charging
411903.6.peg.1176,tRNA-Charging
411903.6.peg.1177,tRNA-Charging
411903.6.peg.1178,tRNA-Charging
411903.6.peg.1179,tRNA-Charging
411903.6.peg.1181,Metabolic:Nucleotide interconversion
411903.6.peg.1182,Metabolic:Glutathione metabolism
411903.6.peg.1183,Translation
411903.6.peg.1184,tRNA-Charging
411903.6.peg.1185,tRNA-Charging
411903.6.peg.1186,tRNA-Charging
411903.6.peg.1187,tRNA-Charging
411903.6.peg.1188,Metabolic:Exchange/demand reaction
411903.6.peg.1189,tRNA-Charging
411903.6.peg.1190,Metabolic:Pyrimidine synthesis
411903.6.peg.1193,Metabolic:Cell wall biosynthesis
411903.6.peg.1195,tRNA-Charging
411903.6.peg.1196,Metabolic:Nucleotide interconversion
411903.6.peg.1199,Metabolic:Citric acid cycle
411903.6.peg.1207,tRNA-Charging
411903.6.peg.1208,Post-translation
411903.6.peg.1209,Translation
411903.6.peg.1211,Metabolic:Pentose phosphate pathway
411903.6.peg.1212,Metabolic:Pentose phosphate pathway
411903.6.peg.1220,"Metabolic:Transport, extracellular"
411903.6.peg.1228,"Metabolic:Transport, extracellular"
411903.6.peg.1229,Metabolic:Glutamate metabolism
411903.6.peg.1230,Metabolic:Glutamate metabolism
411903.6.peg.1237,"Metabolic:Transport, extracellular"
411903.6.peg.1242,"Metabolic:Transport, extracellular"
411903.6.peg.1243,Metabolic:Starch and sucrose metabolism
411903.6.peg.1244,Metabolic:Glutamate metabolism
411903.6.peg.1246,"Metabolic:Transport, extracellular"
411903.6.peg.1252,Metabolic:Glyoxylate and dicarboxylate metabolism
411903.6.peg.1256,Metabolic:Methionine and cysteine metabolism
411903.6.peg.1262,Metabolic:Exchange/demand reaction
411903.6.peg.1269,Metabolic:Folate metabolism
