,subsystem
445975.6.peg.662,"Metabolic:Transport, extracellular"
445975.6.peg.673,Metabolic:Methionine and cysteine metabolism
445975.6.peg.675,Metabolic:Aminobenzoate degradation
445975.6.peg.677,"Metabolic:Valine, leucine, and isoleucine metabolism"
445975.6.peg.680,Metabolic:Pyrimidine synthesis
445975.6.peg.682,Metabolic:Glyoxylate and dicarboxylate metabolism
445975.6.peg.685,Metabolic:Nucleotide interconversion
445975.6.peg.688,Metabolic:NAD metabolism
445975.6.peg.689,Metabolic:NAD metabolism
445975.6.peg.690,Metabolic:NAD metabolism
445975.6.peg.695,Metabolic:Exchange/demand reaction
445975.6.peg.709,Metabolic:Purine synthesis
445975.6.peg.713,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.714,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.717,"Metabolic:Transport, extracellular"
445975.6.peg.718,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.720,"Metabolic:Transport, extracellular"
445975.6.peg.721,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.725,tRNA-Charging
445975.6.peg.726,tRNA-Charging
445975.6.peg.729,tRNA-Charging
445975.6.peg.731,Metabolic:Pyruvate metabolism
445975.6.peg.734,tRNA-Charging
445975.6.peg.736,Metabolic:Fructose and mannose metabolism
445975.6.peg.738,Metabolic:Fructose and mannose metabolism
445975.6.peg.748,"Metabolic:Transport, extracellular"
445975.6.peg.750,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.756,Metabolic:Methionine and cysteine metabolism
445975.6.peg.757,Metabolic:Folate metabolism
445975.6.peg.758,Metabolic:Glutamate metabolism
445975.6.peg.760,Metabolic:Glutamate metabolism
445975.6.peg.763,Metabolic:Glutamate metabolism
445975.6.peg.772,Metabolic:Pyruvate metabolism
445975.6.peg.776,Metabolic:Galactose metabolism
445975.6.peg.777,Metabolic:Pentose phosphate pathway
445975.6.peg.780,Metabolic:Urea cycle
445975.6.peg.782,Metabolic:Urea cycle
445975.6.peg.783,Metabolic:Arginine and proline metabolism
445975.6.peg.784,Metabolic:Arginine and proline metabolism
445975.6.peg.786,Metabolic:Glutamate metabolism
445975.6.peg.787,Transcription
445975.6.peg.791,Metabolic:Terpenoid backbone biosynthesis
445975.6.peg.793,Transcription
445975.6.peg.794,tRNA-Charging
445975.6.peg.795,Metabolic:Glutathione metabolism
445975.6.peg.802,Metabolic:Terpenoid backbone biosynthesis
445975.6.peg.804,tRNA-Charging
445975.6.peg.808,Translation
445975.6.peg.809,tRNA-Charging
445975.6.peg.811,Transcription
445975.6.peg.812,Translation
445975.6.peg.813,tRNA-Charging
445975.6.peg.816,"Metabolic:Transport, extracellular"
445975.6.peg.821,tRNA-Charging
445975.6.peg.827,Metabolic:Galactose metabolism
445975.6.peg.828,Metabolic:Galactose metabolism
445975.6.peg.829,Metabolic:Glycolysis/gluconeogenesis
445975.6.peg.832,"Metabolic:Transport, extracellular"
445975.6.peg.833,"Metabolic:Transport, extracellular"
445975.6.peg.836,"Metabolic:Transport, extracellular"
445975.6.peg.837,tRNA-Charging
445975.6.peg.838,tRNA-Charging
445975.6.peg.840,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
445975.6.peg.843,"Metabolic:Transport, extracellular"
445975.6.peg.844,"Metabolic:Transport, extracellular"
445975.6.peg.845,"Metabolic:Transport, extracellular"
445975.6.peg.846,"Metabolic:Transport, extracellular"
445975.6.peg.851,Metabolic:Vitamin B2 metabolism
