,subsystem
g.26457.CDS.951,Metabolic:Nucleotide interconversion
g.26457.CDS.960,Metabolic:Nucleotide salvage pathway
g.26457.CDS.961,Metabolic:Arginine and proline metabolism
347253.5.peg.961,Metabolic:Pyrimidine synthesis
g.26457.CDS.962,"Metabolic:Transport, extracellular"
g.26457.CDS.970,Metabolic:Arginine and proline metabolism
g.26457.CDS.978,Translation
g.26457.CDS.980,Metabolic:Cell wall biosynthesis
g.26457.CDS.985,Metabolic:Butanoate metabolism
g.26457.CDS.987,tRNA-Charging
347253.5.peg.998,Metabolic:Vitamin B2 metabolism
g.26457.CDS.1000,tRNA-Charging
g.26457.CDS.1003,Metabolic:Nucleotide interconversion
347253.5.peg.1005,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.1007,"Metabolic:Transport, extracellular"
g.26457.CDS.1013,Metabolic:Starch and sucrose metabolism
g.26457.CDS.1014,Metabolic:Pentose and glucuronate interconversions
347253.5.peg.1014,Metabolic:Pyrimidine synthesis
347253.5.peg.1015,Metabolic:Pyrimidine synthesis
g.26457.CDS.1016,tRNA-Charging
347253.5.peg.1018,Metabolic:Pyrimidine synthesis
347253.5.peg.1019,Metabolic:Pyrimidine synthesis
g.26457.CDS.1022,Metabolic:Lysine metabolism
g.26457.CDS.1027,tRNA-Charging
g.26457.CDS.1029,tRNA-Charging
g.26457.CDS.1033,tRNA-Charging
g.26457.CDS.1036,Metabolic:Glutathione metabolism
g.26457.CDS.1042,"Metabolic:Transport, extracellular"
g.26457.CDS.1043,Metabolic:Glycolysis/gluconeogenesis
g.26457.CDS.1045,Metabolic:Pyruvate metabolism
g.26457.CDS.1046,Metabolic:Heme synthesis
g.26457.CDS.1049,Metabolic:Pyrimidine catabolism
g.26457.CDS.1052,tRNA-Charging
g.26457.CDS.1053,tRNA-Charging
g.26457.CDS.1054,Metabolic:Starch and sucrose metabolism
347253.5.peg.1064,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.26457.CDS.1070,Metabolic:Glycolysis/gluconeogenesis
347253.5.peg.1070,Metabolic:Nucleotide interconversion
g.26457.CDS.1072,Metabolic:Arginine and proline metabolism
g.26457.CDS.1073,Metabolic:NAD metabolism
g.26457.CDS.1075,Metabolic:Nucleotide interconversion
g.26457.CDS.1082,Metabolic:Nucleotide interconversion
347253.5.peg.1087,Metabolic:Nucleotide interconversion
g.26457.CDS.1088,tRNA-Charging
g.26457.CDS.1089,Translation
347253.5.peg.1096,Metabolic:Aminosugar metabolism
g.26457.CDS.1107,Metabolic:CoA synthesis
g.26457.CDS.1109,tRNA-Charging
g.26457.CDS.1110,Metabolic:Lipopolysaccharide biosynthesis
g.26457.CDS.1116,Metabolic:NAD metabolism
347253.5.peg.1117,Metabolic:Alanine and aspartate metabolism
347253.5.peg.1129,Metabolic:CoA synthesis
