,subsystem
g.25584.CDS.605,tRNA-Charging
g.25584.CDS.607,"Metabolic:Transport, extracellular"
g.25584.CDS.613,Metabolic:Pyruvate metabolism
g.25584.CDS.618,Translation
g.25584.CDS.621,Metabolic:Terpenoid backbone biosynthesis
g.25584.CDS.634,Metabolic:Exchange/demand reaction
g.25584.CDS.641,tRNA-Charging
g.25584.CDS.643,Metabolic:Pyruvate metabolism
g.25584.CDS.648,tRNA-Charging
g.25584.CDS.650,Metabolic:Exchange/demand reaction
g.25584.CDS.652,"Metabolic:Transport, extracellular"
g.25584.CDS.657,Metabolic:Glutamate metabolism
g.25584.CDS.659,Translation
g.25584.CDS.666,"Metabolic:Transport, extracellular"
g.25584.CDS.668,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.671,Metabolic:Pyruvate metabolism
g.25584.CDS.675,Metabolic:Glycerophospholipid metabolism
1215915.3.peg.675,Metabolic:Pentose phosphate pathway
g.25584.CDS.676,Metabolic:Sulfur metabolism
1215915.3.peg.676,Metabolic:Pentose and glucuronate interconversions
1215915.3.peg.677,Metabolic:Pentose and glucuronate interconversions
g.25584.CDS.686,tRNA-Charging
g.25584.CDS.690,Metabolic:Nucleotide interconversion
g.25584.CDS.697,Metabolic:Exchange/demand reaction
g.25584.CDS.702,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.705,Metabolic:Pyrimidine catabolism
g.25584.CDS.708,Metabolic:Sulfur metabolism
g.25584.CDS.710,Metabolic:Nucleotide interconversion
g.25584.CDS.711,Translation
1215915.3.peg.711,Metabolic:Pentose phosphate pathway
1215915.3.peg.712,Metabolic:Pentose and glucuronate interconversions
g.25584.CDS.719,"Metabolic:Transport, extracellular"
g.25584.CDS.724,"Metabolic:Transport, extracellular"
g.25584.CDS.726,Metabolic:Lipoate metabolism
g.25584.CDS.727,"Metabolic:Transport, extracellular"
1215915.3.peg.727,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
1215915.3.peg.728,"Metabolic:Valine, leucine, and isoleucine metabolism"
1215915.3.peg.729,"Metabolic:Valine, leucine, and isoleucine metabolism"
1215915.3.peg.730,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.731,Metabolic:Exchange/demand reaction
1215915.3.peg.731,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.25584.CDS.733,Metabolic:Histidine metabolism
g.25584.CDS.734,Metabolic:Starch and sucrose metabolism
1215915.3.peg.740,Metabolic:Nucleotide interconversion
g.25584.CDS.751,Metabolic:Exchange/demand reaction
g.25584.CDS.753,tRNA-Charging
g.25584.CDS.759,Metabolic:Arginine and proline metabolism
g.25584.CDS.761,Translation
1215915.3.peg.763,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25584.CDS.764,Metabolic:Exchange/demand reaction
g.25584.CDS.767,"Metabolic:Transport, extracellular"
g.25584.CDS.769,Metabolic:Galactose metabolism
g.25584.CDS.772,Metabolic:Nucleotide interconversion
g.25584.CDS.773,tRNA-Charging
g.25584.CDS.778,Metabolic:Exchange/demand reaction
g.25584.CDS.781,Metabolic:Pyrimidine catabolism
g.25584.CDS.791,Metabolic:Cell wall biosynthesis
g.25584.CDS.792,Translation
g.25584.CDS.804,Metabolic:Miscellaneous
g.25584.CDS.809,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.811,"Metabolic:Transport, extracellular"
g.25584.CDS.815,Metabolic:O-Glycan degradation
g.25584.CDS.817,Metabolic:Cell wall biosynthesis
g.25584.CDS.819,Metabolic:Exchange/demand reaction
g.25584.CDS.820,Metabolic:Thiamine metabolism
g.25584.CDS.823,"Metabolic:Transport, extracellular"
1215915.3.peg.827,Metabolic:Alanine and aspartate metabolism
g.25584.CDS.828,Metabolic:Fatty acid synthesis
g.25584.CDS.830,tRNA-Charging
1215915.3.peg.830,Metabolic:Alanine and aspartate metabolism
g.25584.CDS.837,Metabolic:Exchange/demand reaction
g.25584.CDS.840,Metabolic:Pentose and glucuronate interconversions
g.25584.CDS.841,"Metabolic:Transport, extracellular"
g.25584.CDS.842,tRNA-Charging
g.25584.CDS.843,Metabolic:Glyoxylate and dicarboxylate metabolism
g.25584.CDS.844,"Metabolic:Transport, extracellular"
g.25584.CDS.848,Metabolic:Cell wall biosynthesis
g.25584.CDS.852,Metabolic:Cell wall biosynthesis
g.25584.CDS.853,Metabolic:Nucleotide interconversion
1215915.3.peg.854,Metabolic:Citric acid cycle
g.25584.CDS.855,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.856,tRNA-Charging
g.25584.CDS.860,Metabolic:Folate metabolism
g.25584.CDS.863,Metabolic:Butanoate metabolism
g.25584.CDS.870,"Metabolic:Transport, extracellular"
g.25584.CDS.873,tRNA-Charging
g.25584.CDS.875,Metabolic:Unassigned
1215915.3.peg.878,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.883,Metabolic:Starch and sucrose metabolism
g.25584.CDS.888,"Metabolic:Transport, extracellular"
g.25584.CDS.891,Metabolic:Exchange/demand reaction
g.25584.CDS.896,tRNA-Charging
g.25584.CDS.899,"Metabolic:Transport, extracellular"
g.25584.CDS.900,Metabolic:Pentose and glucuronate interconversions
g.25584.CDS.902,tRNA-Charging
g.25584.CDS.904,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.906,Metabolic:Pentose phosphate pathway
g.25584.CDS.907,Metabolic:Oxidative phosphorylation
g.25584.CDS.913,Metabolic:Respiration
g.25584.CDS.921,tRNA-Charging
