,subsystem
g.27062.CDS.990,Metabolic:Cholesterol metabolism
g.27062.CDS.997,tRNA-Charging
640513.3.peg.997,Metabolic:Arginine and proline metabolism
640513.3.peg.998,Metabolic:Arginine and proline metabolism
g.27062.CDS.999,"Metabolic:Transport, extracellular"
g.27062.CDS.1002,Metabolic:Glycerophospholipid metabolism
g.27062.CDS.1003,Metabolic:Purine catabolism
g.27062.CDS.1004,Metabolic:Fatty acid synthesis
g.27062.CDS.1009,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1014,"Metabolic:Transport, extracellular"
640513.3.peg.1015,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1019,"Metabolic:Transport, extracellular"
g.27062.CDS.1032,Metabolic:Fatty acid synthesis
g.27062.CDS.1045,Metabolic:Arginine and proline metabolism
g.27062.CDS.1047,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
640513.3.peg.1047,Metabolic:Arginine and proline metabolism
640513.3.peg.1049,Metabolic:Phenylalanine metabolism
g.27062.CDS.1052,Metabolic:Histidine metabolism
640513.3.peg.1054,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.1056,Metabolic:Phenylalanine metabolism
g.27062.CDS.1060,"Metabolic:Transport, extracellular"
g.27062.CDS.1064,tRNA-Charging
g.27062.CDS.1067,Metabolic:Others
g.27062.CDS.1072,"Metabolic:Transport, extracellular"
g.27062.CDS.1076,Metabolic:Vitamin B2 metabolism
640513.3.peg.1078,Metabolic:Vitamin B2 metabolism
640513.3.peg.1079,Metabolic:Vitamin B2 metabolism
640513.3.peg.1083,Metabolic:Terpenoid backbone biosynthesis
g.27062.CDS.1084,Transcription
640513.3.peg.1088,Metabolic:CoA synthesis
g.27062.CDS.1094,tRNA-Charging
g.27062.CDS.1095,Metabolic:Cell wall biosynthesis
g.27062.CDS.1096,Metabolic:Arginine and proline metabolism
g.27062.CDS.1102,"Metabolic:Transport, extracellular"
g.27062.CDS.1110,Metabolic:Glycolysis/gluconeogenesis
640513.3.peg.1110,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1115,"Metabolic:Transport, extracellular"
g.27062.CDS.1116,Metabolic:Biotin metabolism
g.27062.CDS.1119,Metabolic:Vitamin B12 metabolism
g.27062.CDS.1122,"Metabolic:Transport, extracellular"
640513.3.peg.1122,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.1124,Metabolic:Purine synthesis
g.27062.CDS.1126,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1130,"Metabolic:Transport, extracellular"
g.27062.CDS.1131,"Metabolic:Transport, extracellular"
640513.3.peg.1132,Metabolic:Alanine and aspartate metabolism
g.27062.CDS.1133,Translation
g.27062.CDS.1134,"Metabolic:Transport, extracellular"
g.27062.CDS.1135,Metabolic:Nucleotide interconversion
g.27062.CDS.1139,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1147,"Metabolic:Transport, extracellular"
640513.3.peg.1150,Metabolic:Nucleotide interconversion
g.27062.CDS.1155,Metabolic:Nucleotide interconversion
g.27062.CDS.1158,Metabolic:Cell wall biosynthesis
g.27062.CDS.1160,"Metabolic:Transport, extracellular"
g.27062.CDS.1171,tRNA-Charging
640513.3.peg.1173,Metabolic:Purine synthesis
g.27062.CDS.1174,Metabolic:Methionine and cysteine metabolism
640513.3.peg.1174,Metabolic:Purine synthesis
g.27062.CDS.1179,Metabolic:Respiration
g.27062.CDS.1181,"Metabolic:Transport, extracellular"
g.27062.CDS.1183,tRNA-Charging
g.27062.CDS.1184,Metabolic:Histidine metabolism
g.27062.CDS.1189,Metabolic:Glycolysis/gluconeogenesis
g.27062.CDS.1190,Metabolic:Pyruvate metabolism
g.27062.CDS.1191,"Metabolic:Transport, extracellular"
g.27062.CDS.1194,Metabolic:Arginine and proline metabolism
g.27062.CDS.1195,Metabolic:Pyruvate metabolism
g.27062.CDS.1200,Metabolic:Pyruvate metabolism
g.27062.CDS.1204,Metabolic:Respiration
g.27062.CDS.1205,tRNA-Charging
g.27062.CDS.1215,Metabolic:Nucleotide salvage pathway
g.27062.CDS.1221,Metabolic:Others
g.27062.CDS.1228,"Metabolic:Transport, extracellular"
g.27062.CDS.1231,Metabolic:Exchange/demand reaction
g.27062.CDS.1233,"Metabolic:Transport, extracellular"
640513.3.peg.1236,Metabolic:Pentose phosphate pathway
640513.3.peg.1237,Metabolic:Pentose phosphate pathway
g.27062.CDS.1243,Metabolic:Thiamine metabolism
640513.3.peg.1243,Metabolic:Methionine and cysteine metabolism
g.27062.CDS.1249,Metabolic:Biotin metabolism
g.27062.CDS.1250,Translation
g.27062.CDS.1252,Metabolic:CoA synthesis
g.27062.CDS.1254,Metabolic:Arginine and proline metabolism
640513.3.peg.1261,Metabolic:Arginine and proline metabolism
g.27062.CDS.1266,"Metabolic:Transport, extracellular"
g.27062.CDS.1272,Metabolic:Selenoamino acid metabolism
g.27062.CDS.1275,"Metabolic:Transport, extracellular"
g.27062.CDS.1276,Transcription
g.27062.CDS.1277,Metabolic:Nucleotide interconversion
g.27062.CDS.1278,Metabolic:Histidine metabolism
g.27062.CDS.1280,"Metabolic:Transport, extracellular"
g.27062.CDS.1286,Translation
g.27062.CDS.1293,Metabolic:Glutathione metabolism
g.27062.CDS.1294,tRNA-Charging
g.27062.CDS.1298,"Metabolic:Transport, extracellular"
g.27062.CDS.1302,Metabolic:Exchange/demand reaction
g.27062.CDS.1304,Metabolic:Miscellaneous
g.27062.CDS.1308,Metabolic:Nucleotide interconversion
g.27062.CDS.1317,Metabolic:Unassigned
