,subsystem
665951.3.peg.706,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.710,Metabolic:Methionine and cysteine metabolism
665951.3.peg.711,tRNA-Charging
665951.3.peg.713,Translation
665951.3.peg.718,tRNA-Charging
665951.3.peg.721,Metabolic:Nucleotide interconversion
665951.3.peg.728,Metabolic:Methionine and cysteine metabolism
665951.3.peg.731,Metabolic:Alanine and aspartate metabolism
665951.3.peg.732,Metabolic:Pyrimidine catabolism
665951.3.peg.733,Metabolic:Cell wall biosynthesis
665951.3.peg.740,Metabolic:Alanine and aspartate metabolism
665951.3.peg.743,Metabolic:Methionine and cysteine metabolism
665951.3.peg.746,Metabolic:Folate metabolism
665951.3.peg.747,Metabolic:Folate metabolism
665951.3.peg.749,Metabolic:Pyruvate metabolism
665951.3.peg.751,Metabolic:Glutamate metabolism
665951.3.peg.769,Metabolic:Folate metabolism
665951.3.peg.781,Translation
665951.3.peg.783,Transcription
665951.3.peg.786,Metabolic:Cholesterol metabolism
665951.3.peg.787,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.789,Metabolic:NAD metabolism
665951.3.peg.795,Metabolic:Starch and sucrose metabolism
665951.3.peg.796,Metabolic:Folate metabolism
665951.3.peg.798,Metabolic:Methionine and cysteine metabolism
665951.3.peg.803,Metabolic:Glutathione metabolism
665951.3.peg.808,Metabolic:Phenylalanine metabolism
665951.3.peg.809,Metabolic:Aminosugar metabolism
665951.3.peg.811,Metabolic:Plant polysaccharide degradation
665951.3.peg.818,Translation
665951.3.peg.827,Metabolic:Exchange/demand reaction
665951.3.peg.832,Metabolic:Methionine and cysteine metabolism
665951.3.peg.835,"Metabolic:Transport, extracellular"
665951.3.peg.836,"Metabolic:Transport, extracellular"
665951.3.peg.837,"Metabolic:Transport, extracellular"
665951.3.peg.839,Metabolic:Arginine and proline metabolism
665951.3.peg.840,Metabolic:Biotin metabolism
665951.3.peg.844,"Metabolic:Transport, extracellular"
665951.3.peg.880,Metabolic:Nucleotide interconversion
665951.3.peg.899,Metabolic:Nucleotide interconversion
665951.3.peg.902,Metabolic:Exchange/demand reaction
665951.3.peg.904,Metabolic:Exchange/demand reaction
665951.3.peg.905,Metabolic:Pentose phosphate pathway
665951.3.peg.906,Metabolic:Glutamate metabolism
665951.3.peg.909,Metabolic:Glycerophospholipid metabolism
665951.3.peg.912,Metabolic:CoA synthesis
665951.3.peg.914,Metabolic:Galactose metabolism
665951.3.peg.915,Transcription
665951.3.peg.916,tRNA-Charging
665951.3.peg.935,"Metabolic:Transport, extracellular"
665951.3.peg.949,Metabolic:Phenylalanine metabolism
665951.3.peg.951,Metabolic:Cell wall biosynthesis
665951.3.peg.952,Metabolic:Alanine and aspartate metabolism
665951.3.peg.953,Metabolic:NAD metabolism
665951.3.peg.958,Metabolic:Pyruvate metabolism
665951.3.peg.959,Metabolic:Arginine and proline metabolism
665951.3.peg.960,Metabolic:Sulfur metabolism
665951.3.peg.961,Metabolic:Glycerophospholipid metabolism
665951.3.peg.964,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.970,Metabolic:Vitamin B12 metabolism
665951.3.peg.971,tRNA-Charging
665951.3.peg.972,Translation
665951.3.peg.973,Metabolic:Cell wall biosynthesis
665951.3.peg.975,tRNA-Charging
665951.3.peg.977,Transcription
665951.3.peg.978,Translation
665951.3.peg.979,tRNA-Charging
665951.3.peg.980,Metabolic:Aminosugar metabolism
665951.3.peg.992,Metabolic:Cell wall biosynthesis
665951.3.peg.997,Metabolic:Sulfur metabolism
665951.3.peg.998,Metabolic:Pentose phosphate pathway
665951.3.peg.999,Metabolic:Glutamate metabolism
665951.3.peg.1000,Metabolic:Galactose metabolism
665951.3.peg.1001,Metabolic:Squalene and cholesterol synthesis
665951.3.peg.1010,tRNA-Charging
665951.3.peg.1011,tRNA-Charging
665951.3.peg.1023,Metabolic:Purine synthesis
665951.3.peg.1024,Metabolic:Purine synthesis
665951.3.peg.1026,Translation
665951.3.peg.1028,Transcription
665951.3.peg.1030,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.1046,Metabolic:Pyruvate metabolism
665951.3.peg.1054,Metabolic:Pentose phosphate pathway
665951.3.peg.1061,Metabolic:Methionine and cysteine metabolism
665951.3.peg.1064,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.1065,"Metabolic:Transport, extracellular"
665951.3.peg.1066,"Metabolic:Transport, extracellular"
665951.3.peg.1076,tRNA-Charging
665951.3.peg.1081,Translation
665951.3.peg.1087,Metabolic:Exchange/demand reaction
665951.3.peg.1088,tRNA-Charging
665951.3.peg.1090,Metabolic:Exchange/demand reaction
665951.3.peg.1091,Metabolic:Exchange/demand reaction
665951.3.peg.1094,Metabolic:Exchange/demand reaction
665951.3.peg.1096,Metabolic:Exchange/demand reaction
665951.3.peg.1111,Metabolic:Pyrimidine catabolism
665951.3.peg.1112,Transcription
665951.3.peg.1113,Metabolic:Cell wall biosynthesis
665951.3.peg.1125,Metabolic:Vitamin B12 metabolism
665951.3.peg.1129,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.1130,Metabolic:Pentose phosphate pathway
665951.3.peg.1131,Metabolic:Exchange/demand reaction
665951.3.peg.1134,Metabolic:Pentose phosphate pathway
665951.3.peg.1135,Metabolic:Pentose phosphate pathway
665951.3.peg.1178,tRNA-Charging
665951.3.peg.1179,tRNA-Charging
665951.3.peg.1183,"Metabolic:Transport, extracellular"
665951.3.peg.1184,Metabolic:CoA synthesis
665951.3.peg.1187,Metabolic:CoA synthesis
665951.3.peg.1198,Metabolic:Cell wall biosynthesis
665951.3.peg.1205,Metabolic:Alanine and aspartate metabolism
665951.3.peg.1212,tRNA-Charging
665951.3.peg.1252,Metabolic:Nucleotide interconversion
665951.3.peg.1255,Metabolic:Phenylalanine metabolism
665951.3.peg.1346,"Metabolic:Transport, extracellular"
665951.3.peg.1353,Metabolic:Cell wall biosynthesis
665951.3.peg.1357,Metabolic:Aminosugar metabolism
665951.3.peg.1363,Metabolic:Aminosugar metabolism
665951.3.peg.1431,Metabolic:Alanine and aspartate metabolism
665951.3.peg.1436,Translation
665951.3.peg.1440,Metabolic:Cell wall biosynthesis
665951.3.peg.1441,Metabolic:Cell wall biosynthesis
665951.3.peg.1454,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.1456,Metabolic:Pentose and glucuronate interconversions
665951.3.peg.1464,"Metabolic:Transport, extracellular"
665951.3.peg.1465,Metabolic:Cell wall biosynthesis
665951.3.peg.1468,Metabolic:Exchange/demand reaction
665951.3.peg.1472,Metabolic:Lysine metabolism
665951.3.peg.1473,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.1474,Metabolic:Exchange/demand reaction
665951.3.peg.1476,Metabolic:Histidine metabolism
665951.3.peg.1480,Post-translation
665951.3.peg.1481,Translation
665951.3.peg.1482,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.1483,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
665951.3.peg.1485,tRNA-Charging
665951.3.peg.1505,Metabolic:Thiamine metabolism
665951.3.peg.1506,Metabolic:Selenoamino acid metabolism
665951.3.peg.1515,Metabolic:Pyruvate metabolism
665951.3.peg.1516,Metabolic:Biotin metabolism
665951.3.peg.1517,Metabolic:Fatty acid synthesis
665951.3.peg.1518,Metabolic:Biotin metabolism
665951.3.peg.1519,Metabolic:Fatty acid synthesis
665951.3.peg.1520,Metabolic:Fatty acid synthesis
665951.3.peg.1521,Metabolic:Glycerophospholipid metabolism
665951.3.peg.1524,Metabolic:Fatty acid synthesis
665951.3.peg.1530,Metabolic:Folate metabolism
665951.3.peg.1541,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.1542,Metabolic:Terpenoid backbone biosynthesis
665951.3.peg.1550,Metabolic:Vitamin B2 metabolism
665951.3.peg.1551,Metabolic:Vitamin B2 metabolism
665951.3.peg.1552,Metabolic:Vitamin B2 metabolism
665951.3.peg.1553,Metabolic:Vitamin B2 metabolism
665951.3.peg.1564,Metabolic:Biosynthesis of siderophore group nonribosomal peptides
665951.3.peg.1602,Metabolic:Glycolysis/gluconeogenesis
665951.3.peg.1603,"Metabolic:Transport, extracellular"
665951.3.peg.1604,"Metabolic:Transport, extracellular"
665951.3.peg.1605,"Metabolic:Transport, extracellular"
665951.3.peg.1606,"Metabolic:Transport, extracellular"
665951.3.peg.1607,"Metabolic:Transport, extracellular"
665951.3.peg.1649,Metabolic:Exchange/demand reaction
665951.3.peg.1655,Metabolic:Alanine and aspartate metabolism
665951.3.peg.1656,Metabolic:Nucleotide interconversion
665951.3.peg.1657,Metabolic:Pyrimidine synthesis
665951.3.peg.1661,Metabolic:Methionine and cysteine metabolism
665951.3.peg.1662,Metabolic:Methionine and cysteine metabolism
665951.3.peg.1678,"Metabolic:Transport, extracellular"
665951.3.peg.1679,"Metabolic:Transport, extracellular"
