,subsystem
411463.4.peg.1843,Metabolic:Exchange/demand reaction
411463.4.peg.1844,Translation
411463.4.peg.1846,tRNA-Charging
411463.4.peg.1849,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
411463.4.peg.1850,Post-translation
411463.4.peg.1851,Metabolic:Exchange/demand reaction
411463.4.peg.1852,Metabolic:Exchange/demand reaction
411463.4.peg.1854,Metabolic:Cell wall biosynthesis
411463.4.peg.1855,tRNA-Charging
411463.4.peg.1857,Metabolic:Pyruvate metabolism
411463.4.peg.1858,Metabolic:Pyruvate metabolism
411463.4.peg.1865,Metabolic:CoA synthesis
411463.4.peg.1866,Translation
411463.4.peg.1867,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.1868,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.1869,Metabolic:Nucleotide interconversion
411463.4.peg.1871,Metabolic:Unassigned
411463.4.peg.1872,Metabolic:Unassigned
411463.4.peg.1873,Metabolic:Unassigned
411463.4.peg.1875,Metabolic:Pyruvate metabolism
411463.4.peg.1876,Metabolic:Alanine and aspartate metabolism
411463.4.peg.1877,Metabolic:Cell wall biosynthesis
411463.4.peg.1878,Metabolic:Lysine metabolism
411463.4.peg.1880,Metabolic:Exchange/demand reaction
411463.4.peg.1881,Metabolic:Exchange/demand reaction
411463.4.peg.1884,Metabolic:Pyrimidine catabolism
411463.4.peg.1885,Metabolic:Pentose phosphate pathway
411463.4.peg.1886,Metabolic:Phenylalanine metabolism
411463.4.peg.1888,Metabolic:Nucleotide interconversion
411463.4.peg.1889,Metabolic:Arginine and proline metabolism
411463.4.peg.1895,Metabolic:Glycerophospholipid metabolism
411463.4.peg.1896,Translation
411463.4.peg.1897,Transcription
411463.4.peg.1898,Metabolic:Nucleotide interconversion
411463.4.peg.1913,Metabolic:Starch and sucrose metabolism
411463.4.peg.1919,Metabolic:NAD metabolism
411463.4.peg.1921,Metabolic:Terpenoid backbone biosynthesis
411463.4.peg.1922,Metabolic:Cholesterol metabolism
411463.4.peg.1925,Transcription
411463.4.peg.1949,Metabolic:Alanine and aspartate metabolism
411463.4.peg.1953,Metabolic:Arginine and proline metabolism
411463.4.peg.1955,Metabolic:Pentose phosphate pathway
411463.4.peg.1958,Metabolic:Citric acid cycle
411463.4.peg.1965,tRNA-Charging
411463.4.peg.1969,Metabolic:Thiamine metabolism
411463.4.peg.1971,Metabolic:Thiamine metabolism
411463.4.peg.1972,Metabolic:Thiamine metabolism
411463.4.peg.1973,Metabolic:Tryptophan metabolism
411463.4.peg.1974,Metabolic:Tryptophan metabolism
411463.4.peg.1976,Metabolic:Tyrosine metabolism
411463.4.peg.1981,Metabolic:Fatty acid synthesis
411463.4.peg.1985,Metabolic:Phenylalanine metabolism
411463.4.peg.1988,tRNA-Charging
411463.4.peg.1989,tRNA-Charging
411463.4.peg.2058,tRNA-Charging
411463.4.peg.2059,Transcription
411463.4.peg.2061,Metabolic:CoA synthesis
411463.4.peg.2071,Metabolic:Glutamate metabolism
411463.4.peg.2073,Metabolic:Fructose and mannose metabolism
411463.4.peg.2074,Metabolic:Pentose phosphate pathway
411463.4.peg.2106,Metabolic:Pyruvate metabolism
411463.4.peg.2107,Metabolic:Pyruvate metabolism
411463.4.peg.2108,Metabolic:Pyruvate metabolism
411463.4.peg.2111,"Metabolic:Transport, extracellular"
411463.4.peg.2112,Metabolic:Exchange/demand reaction
411463.4.peg.2113,Metabolic:Alanine and aspartate metabolism
411463.4.peg.2117,Metabolic:Exchange/demand reaction
411463.4.peg.2120,Metabolic:Glycerophospholipid metabolism
411463.4.peg.2121,"Metabolic:Transport, extracellular"
411463.4.peg.2122,"Metabolic:Transport, extracellular"
411463.4.peg.2123,"Metabolic:Transport, extracellular"
411463.4.peg.2143,Metabolic:Galactose metabolism
411463.4.peg.2151,Metabolic:Starch and sucrose metabolism
411463.4.peg.2170,Metabolic:Thiamine metabolism
411463.4.peg.2194,Metabolic:Exchange/demand reaction
411463.4.peg.2197,Metabolic:Aminosugar metabolism
411463.4.peg.2198,Metabolic:Fructose and mannose metabolism
411463.4.peg.2199,Metabolic:Fructose and mannose metabolism
411463.4.peg.2200,Metabolic:Pentose and glucuronate interconversions
411463.4.peg.2217,tRNA-Charging
411463.4.peg.2219,Transcription
411463.4.peg.2220,Translation
411463.4.peg.2221,tRNA-Charging
411463.4.peg.2222,tRNA-Charging
411463.4.peg.2223,tRNA-Charging
411463.4.peg.2224,Metabolic:Exchange/demand reaction
411463.4.peg.2225,Metabolic:Exchange/demand reaction
411463.4.peg.2229,Metabolic:Pyruvate metabolism
411463.4.peg.2230,Metabolic:Pyruvate metabolism
411463.4.peg.2231,Metabolic:Pyruvate metabolism
411463.4.peg.2232,Metabolic:Pyruvate metabolism
411463.4.peg.2235,tRNA-Charging
411463.4.peg.2238,tRNA-Charging
411463.4.peg.2239,tRNA-Charging
411463.4.peg.2240,Translation
411463.4.peg.2241,Translation
411463.4.peg.2244,"Metabolic:Transport, extracellular"
411463.4.peg.2254,Metabolic:Fatty acid synthesis
411463.4.peg.2255,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.2256,"Metabolic:Transport, extracellular"
411463.4.peg.2266,Metabolic:Biotin metabolism
411463.4.peg.2267,"Metabolic:Transport, extracellular"
411463.4.peg.2270,Translation
411463.4.peg.2274,tRNA-Charging
411463.4.peg.2276,Metabolic:Glycolysis/gluconeogenesis
411463.4.peg.2296,Metabolic:Pyruvate metabolism
411463.4.peg.2304,Metabolic:Exchange/demand reaction
411463.4.peg.2305,Metabolic:Glutamate metabolism
411463.4.peg.2306,Metabolic:Glutamate metabolism
