,subsystem
565047.3.peg.814,"Metabolic:Transport, extracellular"
565047.3.peg.817,Metabolic:Vitamin B2 metabolism
565047.3.peg.818,"Metabolic:Transport, extracellular"
565047.3.peg.822,"Metabolic:Transport, extracellular"
565047.3.peg.823,"Metabolic:Transport, extracellular"
565047.3.peg.824,"Metabolic:Transport, extracellular"
565047.3.peg.825,"Metabolic:Transport, extracellular"
565047.3.peg.834,Metabolic:Vitamin B2 metabolism
565047.3.peg.835,Metabolic:Fructose and mannose metabolism
565047.3.peg.844,Metabolic:Pentose and glucuronate interconversions
565047.3.peg.847,"Metabolic:Transport, extracellular"
565047.3.peg.848,Metabolic:Pyruvate metabolism
565047.3.peg.849,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.876,Metabolic:Alanine and aspartate metabolism
565047.3.peg.877,Metabolic:Cell wall biosynthesis
565047.3.peg.880,"Metabolic:Transport, extracellular"
565047.3.peg.881,"Metabolic:Transport, extracellular"
565047.3.peg.883,Metabolic:Starch and sucrose metabolism
565047.3.peg.900,Metabolic:Aminosugar metabolism
565047.3.peg.907,Metabolic:Heme synthesis
565047.3.peg.908,Metabolic:CoA synthesis
565047.3.peg.909,Metabolic:Alanine and aspartate metabolism
565047.3.peg.919,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.920,"Metabolic:Transport, extracellular"
565047.3.peg.927,"Metabolic:Transport, extracellular"
565047.3.peg.933,Metabolic:Glutathione metabolism
565047.3.peg.941,"Metabolic:Transport, extracellular"
565047.3.peg.942,"Metabolic:Transport, extracellular"
565047.3.peg.943,"Metabolic:Transport, extracellular"
565047.3.peg.944,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.949,Metabolic:CoA synthesis
565047.3.peg.957,Metabolic:Lipoate metabolism
565047.3.peg.962,Metabolic:Vitamin B2 metabolism
565047.3.peg.969,Metabolic:Vitamin B2 metabolism
565047.3.peg.982,Metabolic:Aminosugar metabolism
565047.3.peg.983,Metabolic:Aminosugar metabolism
565047.3.peg.985,Metabolic:Cell wall biosynthesis
565047.3.peg.991,Metabolic:Nucleotide interconversion
565047.3.peg.993,Metabolic:Vitamin B2 metabolism
565047.3.peg.994,Metabolic:NAD metabolism
565047.3.peg.996,Metabolic:Fatty acid synthesis
565047.3.peg.997,Metabolic:Cell wall biosynthesis
565047.3.peg.998,Metabolic:Cell wall biosynthesis
565047.3.peg.999,Metabolic:Cell wall biosynthesis
565047.3.peg.1000,Metabolic:Cell wall biosynthesis
565047.3.peg.1002,Metabolic:Pentose phosphate pathway
565047.3.peg.1005,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1015,Translation
565047.3.peg.1020,"Metabolic:Transport, extracellular"
565047.3.peg.1030,"Metabolic:Transport, extracellular"
565047.3.peg.1032,Metabolic:Glyoxylate and dicarboxylate metabolism
565047.3.peg.1033,Metabolic:Lysine metabolism
565047.3.peg.1038,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1039,Metabolic:Lysine metabolism
565047.3.peg.1040,"Metabolic:Transport, extracellular"
565047.3.peg.1042,"Metabolic:Transport, extracellular"
565047.3.peg.1043,"Metabolic:Transport, extracellular"
565047.3.peg.1044,"Metabolic:Transport, extracellular"
565047.3.peg.1045,"Metabolic:Transport, extracellular"
565047.3.peg.1051,"Metabolic:Transport, extracellular"
565047.3.peg.1072,Translation
565047.3.peg.1073,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1074,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1075,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.1076,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.1081,"Metabolic:Transport, extracellular"
565047.3.peg.1083,Metabolic:Inositol phosphate metabolism
565047.3.peg.1090,Metabolic:Citric acid cycle
565047.3.peg.1091,"Metabolic:Transport, extracellular"
565047.3.peg.1092,Metabolic:Cell wall biosynthesis
565047.3.peg.1093,Metabolic:Cell wall biosynthesis
565047.3.peg.1099,Metabolic:Galactose metabolism
565047.3.peg.1100,Metabolic:Cell wall biosynthesis
565047.3.peg.1103,Metabolic:Cell wall biosynthesis
565047.3.peg.1104,Metabolic:Cell wall biosynthesis
565047.3.peg.1105,Metabolic:Cell wall biosynthesis
565047.3.peg.1106,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1107,Metabolic:NAD metabolism
565047.3.peg.1108,Metabolic:NAD metabolism
565047.3.peg.1110,"Metabolic:Transport, extracellular"
565047.3.peg.1125,Metabolic:Respiration
565047.3.peg.1126,Metabolic:Respiration
565047.3.peg.1138,Metabolic:Vitamin B12 metabolism
565047.3.peg.1139,Metabolic:Vitamin B12 metabolism
565047.3.peg.1144,Metabolic:Vitamin B12 metabolism
565047.3.peg.1145,Metabolic:Vitamin B12 metabolism
565047.3.peg.1146,Metabolic:Vitamin B12 metabolism
565047.3.peg.1150,Metabolic:Propanoate metabolism
565047.3.peg.1151,Metabolic:Propanoate metabolism
565047.3.peg.1152,Metabolic:Propanoate metabolism
565047.3.peg.1161,Metabolic:Vitamin B12 metabolism
565047.3.peg.1162,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1163,Metabolic:Pentose and glucuronate interconversions
565047.3.peg.1164,"Metabolic:Transport, extracellular"
565047.3.peg.1165,Metabolic:Propanoate metabolism
565047.3.peg.1166,Metabolic:Vitamin B12 metabolism
565047.3.peg.1167,Metabolic:Vitamin B12 metabolism
565047.3.peg.1168,Metabolic:Pyruvate metabolism
565047.3.peg.1172,Metabolic:Cell wall biosynthesis
565047.3.peg.1173,Metabolic:Cell wall biosynthesis
565047.3.peg.1183,"Metabolic:Transport, extracellular"
565047.3.peg.1187,Metabolic:Vitamin B12 metabolism
565047.3.peg.1188,Metabolic:Vitamin B12 metabolism
565047.3.peg.1189,Metabolic:Vitamin B12 metabolism
565047.3.peg.1191,Metabolic:Vitamin B12 metabolism
565047.3.peg.1192,Metabolic:Vitamin B12 metabolism
565047.3.peg.1193,Metabolic:Vitamin B12 metabolism
565047.3.peg.1194,Metabolic:Vitamin B12 metabolism
565047.3.peg.1195,Metabolic:Vitamin B12 metabolism
565047.3.peg.1196,Metabolic:Vitamin B12 metabolism
565047.3.peg.1197,Metabolic:Vitamin B12 metabolism
565047.3.peg.1198,Metabolic:Vitamin B12 metabolism
565047.3.peg.1199,Metabolic:Vitamin B12 metabolism
565047.3.peg.1204,Metabolic:Vitamin B12 metabolism
565047.3.peg.1205,Metabolic:Vitamin B12 metabolism
565047.3.peg.1215,tRNA-Charging
565047.3.peg.1216,tRNA-Charging
565047.3.peg.1227,Metabolic:Sulfur metabolism
565047.3.peg.1229,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1231,Metabolic:Glutamate metabolism
565047.3.peg.1232,Transcription
565047.3.peg.1328,Metabolic:Starch and sucrose metabolism
565047.3.peg.1329,"Metabolic:Transport, extracellular"
565047.3.peg.1332,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1333,Metabolic:Arginine and proline metabolism
565047.3.peg.1334,Metabolic:Arginine and proline metabolism
565047.3.peg.1339,Translation
565047.3.peg.1347,Metabolic:Exchange/demand reaction
565047.3.peg.1356,Metabolic:Cell wall biosynthesis
565047.3.peg.1358,Metabolic:Exchange/demand reaction
565047.3.peg.1359,Metabolic:Exchange/demand reaction
565047.3.peg.1360,Metabolic:Methionine and cysteine metabolism
565047.3.peg.1367,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1368,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1375,Metabolic:Cell wall biosynthesis
565047.3.peg.1377,"Metabolic:Transport, extracellular"
565047.3.peg.1382,Metabolic:Pentose phosphate pathway
565047.3.peg.1385,Metabolic:Cell wall biosynthesis
565047.3.peg.1390,Metabolic:Nucleotide interconversion
565047.3.peg.1391,Translation
565047.3.peg.1392,Metabolic:Terpenoid backbone biosynthesis
565047.3.peg.1393,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1394,Metabolic:Terpenoid backbone biosynthesis
565047.3.peg.1396,tRNA-Charging
565047.3.peg.1399,Metabolic:Exchange/demand reaction
565047.3.peg.1402,Translation
565047.3.peg.1404,Translation
565047.3.peg.1405,Metabolic:Pyrimidine synthesis
565047.3.peg.1406,Metabolic:Vitamin B2 metabolism
565047.3.peg.1407,tRNA-Charging
565047.3.peg.1408,Translation
565047.3.peg.1412,Metabolic:Folate metabolism
565047.3.peg.1415,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.1424,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1425,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1426,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1430,Metabolic:Glutathione metabolism
565047.3.peg.1432,Metabolic:Biotin metabolism
565047.3.peg.1433,Metabolic:Biotin metabolism
565047.3.peg.1435,Transcription
565047.3.peg.1436,Metabolic:Folate metabolism
565047.3.peg.1439,Metabolic:Cholesterol metabolism
565047.3.peg.1441,Metabolic:Terpenoid backbone biosynthesis
565047.3.peg.1446,Metabolic:Butanoate metabolism
565047.3.peg.1447,Metabolic:Glycolysis/gluconeogenesis
565047.3.peg.1448,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1449,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1450,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1453,Metabolic:Pentose phosphate pathway
565047.3.peg.1460,Metabolic:Squalene and cholesterol synthesis
565047.3.peg.1464,Metabolic:Arginine and proline metabolism
565047.3.peg.1471,Metabolic:Fatty acid synthesis
565047.3.peg.1473,Metabolic:Glycerophospholipid metabolism
565047.3.peg.1484,Metabolic:Pyruvate metabolism
565047.3.peg.1485,Metabolic:Pyruvate metabolism
565047.3.peg.1493,"Metabolic:Valine, leucine, and isoleucine metabolism"
565047.3.peg.1494,Metabolic:Squalene and cholesterol synthesis
565047.3.peg.1499,Metabolic:Cell wall biosynthesis
565047.3.peg.1500,"Metabolic:Transport, extracellular"
565047.3.peg.1501,"Metabolic:Transport, extracellular"
565047.3.peg.1503,"Metabolic:Transport, extracellular"
565047.3.peg.1504,"Metabolic:Transport, extracellular"
565047.3.peg.1505,"Metabolic:Transport, extracellular"
565047.3.peg.1506,"Metabolic:Transport, extracellular"
565047.3.peg.1507,"Metabolic:Transport, extracellular"
565047.3.peg.1512,Metabolic:Glutathione metabolism
565047.3.peg.1514,Metabolic:Lysine metabolism
565047.3.peg.1515,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1516,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
565047.3.peg.1518,Metabolic:ROS detoxification
565047.3.peg.1524,"Metabolic:Transport, extracellular"
565047.3.peg.1525,"Metabolic:Transport, extracellular"
565047.3.peg.1526,Metabolic:Oxidative phosphorylation
565047.3.peg.1531,Metabolic:Exchange/demand reaction
565047.3.peg.1532,Metabolic:Exchange/demand reaction
565047.3.peg.1535,tRNA-Charging
565047.3.peg.1536,tRNA-Charging
