,subsystem
g.31042.CDS.650,"Metabolic:Transport, extracellular"
g.31042.CDS.651,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.654,"Metabolic:Transport, extracellular"
g.31042.CDS.655,Metabolic:Pyruvate metabolism
1194526.3.peg.655,Metabolic:Pentose phosphate pathway
g.31042.CDS.657,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.659,"Metabolic:Transport, extracellular"
g.31042.CDS.661,Metabolic:Butanoate metabolism
g.31042.CDS.663,Metabolic:Arginine and proline metabolism
g.31042.CDS.664,Metabolic:Glutamate metabolism
g.31042.CDS.668,Metabolic:Nucleotide interconversion
g.31042.CDS.671,"Metabolic:Transport, extracellular"
g.31042.CDS.673,tRNA-Charging
g.31042.CDS.674,Metabolic:ROS detoxification
g.31042.CDS.678,Translation
g.31042.CDS.682,Metabolic:Arginine and proline metabolism
g.31042.CDS.683,Metabolic:Pentose phosphate pathway
1194526.3.peg.683,Metabolic:Nucleotide interconversion
g.31042.CDS.684,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.687,Metabolic:Thiamine metabolism
g.31042.CDS.693,tRNA-Charging
g.31042.CDS.697,tRNA-Charging
g.31042.CDS.698,Metabolic:Pentose phosphate pathway
g.31042.CDS.700,Metabolic:NAD metabolism
g.31042.CDS.707,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.714,"Metabolic:Transport, extracellular"
g.31042.CDS.716,"Metabolic:Transport, extracellular"
g.31042.CDS.717,Metabolic:Butanoate metabolism
g.31042.CDS.718,"Metabolic:Transport, extracellular"
g.31042.CDS.720,Metabolic:Pyrimidine catabolism
g.31042.CDS.728,Metabolic:Vitamin B2 metabolism
g.31042.CDS.731,Metabolic:Nucleotide interconversion
1194526.3.peg.736,Metabolic:Cell wall biosynthesis
1194526.3.peg.741,Metabolic:Aminosugar metabolism
g.31042.CDS.743,Metabolic:Arginine and proline metabolism
g.31042.CDS.745,Metabolic:Histidine metabolism
g.31042.CDS.747,tRNA-Charging
g.31042.CDS.748,"Metabolic:Transport, extracellular"
g.31042.CDS.749,tRNA-Charging
g.31042.CDS.752,Metabolic:Respiration
g.31042.CDS.759,Metabolic:Arginine and proline metabolism
g.31042.CDS.760,Metabolic:Arginine and proline metabolism
1194526.3.peg.762,Metabolic:CoA synthesis
1194526.3.peg.765,Metabolic:Pyrimidine synthesis
g.31042.CDS.767,Metabolic:Sulfur metabolism
1194526.3.peg.767,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.769,Metabolic:Vitamin B12 metabolism
g.31042.CDS.775,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.778,"Metabolic:Transport, extracellular"
1194526.3.peg.779,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.781,Metabolic:Arginine and proline metabolism
g.31042.CDS.784,Metabolic:Methane metabolism
