,fluxes,reduced_costs
DMPPS,0.0,0.0
DMPPS2r,-6.0597085416151515,-0.0
DM_2HYMEPH,0.0,0.0
DM_4HBA,0.0,0.0
DM_HQN,0.0,0.0
DM_atp_c_,0.0,0.0
DM_dhptd(c),0.0,-0.0
DPCOAK,0.0031490715372225063,0.0
DPRr,0.0,-0.0
DRIBabc,0.0,0.0
DRPAr,0.0,-0.0
DTMPK,0.002368436970045903,0.0
DURIPP,0.0,0.0
DURIt2,0.0,0.0
DUTPDP,0.0,0.0
DXPRIr,0.20509571377046168,0.0
DXPS,0.20509571377046168,0.0
E4PD,0.0,-0.0
EHGLAT,0.0,0.0
ENO,4.977677410489005,0.0
ETOHt,0.0,-0.0
EX_26dap_M(e),0.0,-0.0
EX_2ddglcn(e),0.0,0.0
EX_4hpro(e),0.0,-0.0
EX_C02528(e),0.0,0.0
EX_Cit_Mg(e),0.0,0.0
EX_ac(e),9.527255192617513,0.0
EX_acald(e),0.0,-0.0
EX_acnam(e),-1.0,-0.0
EX_adn(e),-0.08906407726100649,-0.0
EX_adocbl(e),0.0,-0.0
EX_arab_L(e),-0.17878295,-0.0
EX_arabttr(e),0.0,-0.0
EX_arbt(e),0.0,0.0
EX_asn_L(e),-0.04731631804974652,-0.0
EX_biomass(e),0.20162058142895228,0.0
EX_btn(e),0.0,-0.0
EX_but(e),0.0,0.0
EX_ca2(e),-0.00157453576861126,-0.0
EX_cbl1(e),0.0,-0.0
EX_cbl2(e),0.0,0.0
EX_cd2(e),0.0,0.0
EX_cellb(e),-0.07449289,-0.0
EX_cholate(e),0.0,0.0
EX_cl(e),-0.00157453576861126,-0.0
EX_co2(e),0.4831201725872182,0.0
EX_cobalt2(e),-0.00157453576861126,-0.0
EX_cro4(e),0.0,0.0
EX_csn(e),0.0,-0.0
EX_cu2(e),-0.00157453576861126,-0.0
EX_cys_L(e),0.0,-0.0
EX_cytd(e),0.0,-0.0
EX_dad_2(e),0.04452730054683983,0.0
EX_dcyt(e),0.0,-0.0
EX_dgchol(e),0.0,0.0
EX_dgsn(e),-0.04452730054683983,-0.0
EX_din(e),0.0,0.0
EX_drib(e),0.0,-0.0
EX_duri(e),0.0,0.0
EX_etoh(e),0.0,0.0
EX_fe2(e),-0.00157453576861126,-0.0
EX_fe3(e),-0.00157453576861126,-0.0
EX_for(e),3.3972527169726794,0.0
EX_fru(e),-0.14898579,-0.0
EX_gal(e),-0.14898579,-0.0
EX_gam(e),-1.0,-0.0
EX_gchola(e),0.0,0.0
EX_glc_D(e),-0.14898579,-0.0
EX_gln_L(e),0.0,-0.0
EX_glu_L(e),-0.18,-2.2402286825439144
EX_gly(e),-0.3965925516112795,-0.0
EX_glyb(e),0.0,-0.0
EX_glyc(e),-1.79965486,-0.0
EX_glyc3p(e),0.0,-0.0
EX_h(e),10.87358452292462,0.0
EX_h2(e),0.0,-0.0
EX_h2o(e),2.1557311126277385,0.0
EX_h2s(e),-0.05277382427198168,-0.0
EX_hg2(e),0.0,0.0
EX_hxan(e),0.0,-0.0
EX_ins(e),0.0,0.0
EX_inulin(e),-0.00047019,-0.0
EX_k(e),-0.00157453576861126,-0.0
EX_kesto(e),0.0,-0.0
EX_kestopt(e),-0.00282117,-0.0
EX_kestottr(e),0.0,-0.0
EX_lcts(e),-0.07449289,-0.0
EX_lys_L(e),1.1689749586855884,0.0
EX_malt(e),-0.07449289,-0.0
EX_malthx(e),0.0,0.0
EX_malttr(e),0.0,0.0
EX_mantr(e),0.0,0.0
EX_melib(e),0.00470194,0.0
EX_mg2(e),-0.00157453576861126,-0.0
EX_mn2(e),-0.00157453576861126,-0.0
EX_n2(e),0.0,0.0
EX_na1(e),0.0,-0.0
EX_nac(e),-0.0031490715372219924,-0.0
EX_nh4(e),0.0,0.0
EX_o2(e),0.0,-0.0
EX_pb(e),0.0,0.0
