MicrobeID	NCBI Taxonomy ID	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom
Bifidobacterium_gallicum_DSM_20093	561180	Bifidobacterium gallicum DSM 20093 = LMG 11596	Bifidobacterium gallicum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_DJO10A	205913	Bifidobacterium longum DJO10A	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_E18	1322347	Bifidobacterium longum E18	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_infantis_157F_NC	565040	Bifidobacterium longum subsp. infantis 157F	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_infantis_ATCC_15697	391904	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_longum_ATCC_55813	548480	Bifidobacterium longum subsp. longum ATCC 55813	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_longum_BBMN68	890402	Bifidobacterium longum subsp. longum BBMN68	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_longum_CCUG_52486	537937	Bifidobacterium longum subsp. infantis CCUG 52486	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_longum_JCM_1217	565042	Bifidobacterium longum subsp. longum JCM 1217	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_longum_JDM301	759350	Bifidobacterium longum subsp. longum JDM301	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_longum_NCC2705	206672	Bifidobacterium longum NCC2705	Bifidobacterium longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_pseudocatenulatum_DSM_20438	547043	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	Bifidobacterium pseudocatenulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bifidobacterium_thermophilum_RBL67	1254439	Bifidobacterium thermophilum RBL67	Bifidobacterium thermophilum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
Bilophila_wadsworthia_3_1_6	563192	Bilophila wadsworthia 3_1_6	Bilophila wadsworthia	Bilophila	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
Blautia_hansenii_VPI_C7_24_DSM_20583	537007	Blautia hansenii DSM 20583	Blautia hansenii	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
