	MicrobeID	NCBI Taxonomy ID	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom	#genome	unique_name	total_length
17	Adlercreutzia_equolifaciens_DSM_19450	1384484	Adlercreutzia equolifaciens DSM 19450	Adlercreutzia equolifaciens	Adlercreutzia	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	1384484	Adlercreutzia_equolifaciens_DSM_19450	5353869
18	Aerococcus_viridans_ATCC_11563	655812	Aerococcus viridans ATCC 11563 = CCUG 4311	Aerococcus viridans	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	655812	Aerococcus_viridans_ATCC_11563	3762665
19	Aeromonas_caviae_Ae398	878320	Aeromonas caviae Ae398	Aeromonas caviae	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	878320	Aeromonas_caviae_Ae398	8490745
20	Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	380703	Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	9187093
21	Aeromonas_veronii_B565	998088	Aeromonas veronii B565	Aeromonas veronii	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	998088	Aeromonas_veronii_B565	8717580
22	Afipia_birgiae_34632	1197906	Afipia birgiae 34632	Afipia birgiae	Afipia	Bradyrhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	1197906	Afipia_birgiae_34632	10068464
23	Akkermansia_muciniphila_ATCC_BAA_835	349741	Akkermansia muciniphila ATCC BAA-835	Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria	349741	Akkermansia_muciniphila_ATCC_BAA_835	5064633
24	Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	1218102	Alcaligenes faecalis subsp. faecalis NBRC 13111	Alcaligenes faecalis	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	1218102	Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	7819291
25	Alistipes_finegoldii_DSM_17242	679935	Alistipes finegoldii DSM 17242	Alistipes finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	679935	Alistipes_finegoldii_DSM_17242	7131535
26	Alistipes_indistinctus_YIT_12060	742725	Alistipes indistinctus YIT 12060	Alistipes indistinctus	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	742725	Alistipes_indistinctus_YIT_12060	5530613
27	Alistipes_onderdonkii_DSM_19147	1203611	Alistipes onderdonkii WAL 8169 = DSM 19147	Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	1203611	Alistipes_onderdonkii_DSM_19147	7476346
28	Alistipes_shahii_WAL_8301	717959	Alistipes shahii WAL 8301	Alistipes shahii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	717959	Alistipes_shahii_WAL_8301	7107660
29	Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	649746	Acetomicrobium hydrogeniformans	Anaerobaculum hydrogeniformans	Acetomicrobium	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	649746	Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	4068093
30	Anaerococcus_hydrogenalis_DSM_7454	561177	Anaerococcus hydrogenalis DSM 7454	Anaerococcus hydrogenalis	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria	561177	Anaerococcus_hydrogenalis_DSM_7454	3528263
31	Anaerococcus_prevotii_DSM_20548	525919	Anaerococcus prevotii DSM 20548	Anaerococcus prevotii	Anaerococcus	Peptoniphilaceae	Tissierellales	Tissierellia	Firmicutes	Bacteria	525919	Anaerococcus_prevotii_DSM_20548	3868704
32	Anaerofustis_stercorihominis_DSM_17244	445971	Anaerofustis stercorihominis DSM 17244	Anaerofustis stercorihominis	Anaerofustis	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	445971	Anaerofustis_stercorihominis_DSM_17244	4246481
33	Anaerostipes_caccae_DSM_14662	411490	Anaerostipes caccae L1-92	Anaerostipes caccae	Anaerostipes	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	411490	Anaerostipes_caccae_DSM_14662	6717998
34	Anaerostipes_sp_3_2_56FAA	207244	Anaerostipes	Anaerostipes sp. 3_2_56FAA	Anaerostipes	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	207244	Anaerostipes_sp_3_2_56FAA	6171203
35	Anaerotruncus_colihominis_DSM_17241	445972	Anaerotruncus colihominis DSM 17241	Anaerotruncus colihominis	Anaerotruncus	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	445972	Anaerotruncus_colihominis_DSM_17241	6921093
36	Arcanobacterium_haemolyticum_DSM_20595	644284	Arcanobacterium haemolyticum DSM 20595	Arcanobacterium haemolyticum	Arcanobacterium	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria	644284	Arcanobacterium_haemolyticum_DSM_20595	3767419
37	Arcobacter_butzleri_RM4018	367737	Aliarcobacter butzleri RM4018	Aliarcobacter butzleri	Aliarcobacter	Arcobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	367737	Arcobacter_butzleri_RM4018	4697613
38	Atopobium_minutum_10063974	997872	Atopobium minutum 10063974	Atopobium minutum	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	997872	Atopobium_minutum_10063974	3328814
39	Atopobium_parvulum_DSM_20469	521095	Lancefieldella parvulum DSM 20469	Lancefieldella parvula	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	521095	Atopobium_parvulum_DSM_20469	3006323
40	Atopobium_rimae_ATCC_49626	553184	Lancefieldella rimae ATCC 49626	Lancefieldella rimae	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	553184	Atopobium_rimae_ATCC_49626	3158256
41	Bacillus_atrophaeus_ATCC_49822_1	743710	Bacillus atrophaeus ATCC 49822-1	Bacillus atrophaeus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	743710	Bacillus_atrophaeus_ATCC_49822_1	7935046
42	Bacillus_cereus_AH187_F4810_72	405534	Bacillus cereus AH187	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	405534	Bacillus_cereus_AH187_F4810_72	10301142
43	Bacillus_cereus_G9842	405531	Bacillus cereus G9842	Bacillus cereus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	405531	Bacillus_cereus_G9842	10532161
44	Bacillus_clausii_KSM_K16	66692	Alkalihalobacillus clausii KSM-K16	Alkalihalobacillus clausii	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	66692	Bacillus_clausii_KSM_K16	8243519
45	Bacillus_endophyticus_2102	1196029	Priestia endophytica 2102	Priestia endophytica	Priestia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	1196029	Bacillus_endophyticus_2102	9690232
46	Bacillus_fordii_DSM_16014	1121090	Siminovitchia fordii DSM 16014 = CIP 108821	Siminovitchia fordii	Siminovitchia	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	1121090	Bacillus_fordii_DSM_16014	8531469
47	Bacillus_halodurans_C_125	272558	Alkalihalobacillus halodurans C-125	Alkalihalobacillus halodurans	Alkalihalobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	272558	Bacillus_halodurans_C_125	8031219
48	Bacillus_mojavensis_RO_H_1	1051501	Bacillus mojavensis RO-H-1 = KCTC 3706	Bacillus mojavensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	1051501	Bacillus_mojavensis_RO_H_1	7650300
49	Bacillus_mycoides_DSM_2048	526997	Bacillus mycoides DSM 2048	Bacillus mycoides	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	526997	Bacillus_mycoides_DSM_2048	10364507
50	Bacillus_pseudofirmus_OF4	398511	Alkalihalophilus pseudofirmus OF4	Alkalihalophilus pseudofirmus	Alkalihalophilus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	398511	Bacillus_pseudofirmus_OF4	8065275
51	Bacillus_pumilus_ATCC_7061	536229	Bacillus pumilus ATCC 7061	Bacillus pumilus	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	536229	Bacillus_pumilus_ATCC_7061	7437760
52	Bacillus_sonorensis_L12	1274524	Bacillus sonorensis L12	Bacillus sonorensis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	1274524	Bacillus_sonorensis_L12	8917483
53	Bacillus_vallismortis_DV1_F_3	1051502	Bacillus vallismortis DV1-F-3	Bacillus vallismortis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	1051502	Bacillus_vallismortis_DV1_F_3	7475872
54	Bacteroides_caccae_ATCC_43185	411901	Bacteroides caccae ATCC 43185	Bacteroides caccae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	411901	Bacteroides_caccae_ATCC_43185	8605186
55	Bacteroides_clarus_YIT_12056	762984	Bacteroides clarus YIT 12056	Bacteroides clarus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	762984	Bacteroides_clarus_YIT_12056	7369013
56	Bacteroides_coprocola_M16_DSM_17136	470145	Phocaeicola coprocola DSM 17136	Phocaeicola coprocola	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	470145	Bacteroides_coprocola_M16_DSM_17136	7958179
57	Bacteroides_coprophilus_DSM_18228	547042	Phocaeicola coprophilus DSM 18228 = JCM 13818	Phocaeicola coprophilus	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	547042	Bacteroides_coprophilus_DSM_18228	7349418
58	Bacteroides_dorei_DSM_17855	483217	Phocaeicola dorei DSM 17855	Phocaeicola dorei	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	483217	Bacteroides_dorei_DSM_17855	10336592
59	Bacteroides_eggerthii_1_2_48FAA	665953	Bacteroides eggerthii 1_2_48FAA	Bacteroides eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	665953	Bacteroides_eggerthii_1_2_48FAA	8680972
60	Bacteroides_eggerthii_DSM_20697	483216	Bacteroides eggerthii DSM 20697	Bacteroides eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	483216	Bacteroides_eggerthii_DSM_20697	7875617
61	Bacteroides_faecis_MAJ27	1077285	Bacteroides faecis MAJ27	Bacteroides faecis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	1077285	Bacteroides_faecis_MAJ27	11762271
62	Bacteroides_finegoldii_DSM_17565	483215	Bacteroides finegoldii DSM 17565	Bacteroides finegoldii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	483215	Bacteroides_finegoldii_DSM_17565	9198874
63	Bacteroides_fluxus_YIT_12057	763034	Bacteroides fluxus YIT 12057	Bacteroides fluxus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	763034	Bacteroides_fluxus_YIT_12057	8437308
64	Bacteroides_fragilis_3_1_12	457424	Bacteroides fragilis 3_1_12	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457424	Bacteroides_fragilis_3_1_12	10368536
65	Bacteroides_fragilis_638R	862962	Bacteroides fragilis 638R	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	862962	Bacteroides_fragilis_638R	10168921
66	Bacteroides_fragilis_NCTC_9343	272559	Bacteroides fragilis NCTC 9343	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	272559	Bacteroides_fragilis_NCTC_9343	9916207
67	Bacteroides_fragilis_YCH46	295405	Bacteroides fragilis YCH46	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	295405	Bacteroides_fragilis_YCH46	10045047
68	Bacteroides_intestinalis_341_DSM_17393	471870	Bacteroides intestinalis DSM 17393	Bacteroides intestinalis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	471870	Bacteroides_intestinalis_341_DSM_17393	11438250
69	Bacteroides_nordii_CL02T12C05	997884	Bacteroides nordii CL02T12C05	Bacteroides nordii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	997884	Bacteroides_nordii_CL02T12C05	10995857
70	Bacteroides_oleiciplenus_YIT_12058	742727	Bacteroides oleiciplenus YIT 12058	Bacteroides oleiciplenus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	742727	Bacteroides_oleiciplenus_YIT_12058	13721130
71	Bacteroides_ovatus_ATCC_8483	411476	Bacteroides ovatus ATCC 8483	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	411476	Bacteroides_ovatus_ATCC_8483	12191746
72	Bacteroides_ovatus_SD_CC_2a	702444	Bacteroides xylanisolvens SD CC 2a	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	702444	Bacteroides_ovatus_SD_CC_2a	11286206
73	Bacteroides_ovatus_SD_CMC_3f	702443	Bacteroides ovatus SD CMC 3f	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	702443	Bacteroides_ovatus_SD_CMC_3f	12721063
74	Bacteroides_plebeius_M12_DSM_17135	484018	Phocaeicola plebeius DSM 17135	Phocaeicola plebeius	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	484018	Bacteroides_plebeius_M12_DSM_17135	8012436
75	Bacteroides_salyersiae_WAL_10018	1121101	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988	Bacteroides salyersiae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	1121101	Bacteroides_salyersiae_WAL_10018	10795597
76	Bacteroides_sp_1_1_14	469585	Bacteroides sp. 1_1_14	Bacteroides sp. 1_1_14	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469585	Bacteroides_sp_1_1_14	11848857
77	Bacteroides_sp_1_1_30	457387	Bacteroides sp. 1_1_30	Bacteroides sp. 1_1_30	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457387	Bacteroides_sp_1_1_30	12185143
78	Bacteroides_sp_1_1_6	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	818	Bacteroides_sp_1_1_6	12435574
79	Bacteroides_sp_2_1_22	469588	Bacteroides sp. 2_1_22	Bacteroides sp. 2_1_22	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469588	Bacteroides_sp_2_1_22	11197795
80	Bacteroides_sp_2_1_33B	469589	Bacteroides sp. 2_1_33B	Bacteroides sp. 2_1_33B	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469589	Bacteroides_sp_2_1_33B	9252544
81	Bacteroides_sp_2_1_7	457388	Parabacteroides sp. 2_1_7	Parabacteroides sp. 2_1_7	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457388	Bacteroides_sp_2_1_7	9654521
82	Bacteroides_sp_2_2_4	469590	Bacteroides sp. 2_2_4	Bacteroides sp. 2_2_4	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469590	Bacteroides_sp_2_2_4	13219589
83	Bacteroides_sp_20_3	469591	Parabacteroides sp. 20_3	Parabacteroides sp. 20_3	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469591	Bacteroides_sp_20_3	10804721
84	Bacteroides_sp_3_1_19	469592	Bacteroides sp. 3_1_19	Bacteroides sp. 3_1_19	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469592	Bacteroides_sp_3_1_19	9824621
85	Bacteroides_sp_3_1_23	457390	Bacteroides sp. 3_1_23	Bacteroides sp. 3_1_23	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457390	Bacteroides_sp_3_1_23	12277541
86	Bacteroides_sp_3_1_33FAA	457391	Bacteroides sp. 3_1_33FAA	Bacteroides sp. 3_1_33FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457391	Bacteroides_sp_3_1_33FAA	10148659
87	Bacteroides_sp_3_1_40A	469593	Bacteroides sp. 3_1_40A	Bacteroides sp. 3_1_40A	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	469593	Bacteroides_sp_3_1_40A	10312553
88	Bacteroides_sp_3_2_5	457392	Bacteroides sp. 3_2_5	Bacteroides sp. 3_2_5	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457392	Bacteroides_sp_3_2_5	9653989
89	Bacteroides_sp_4_1_36	457393	Bacteroides sp. 4_1_36	Bacteroides sp. 4_1_36	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457393	Bacteroides_sp_4_1_36	8722456
90	Bacteroides_sp_4_3_47FAA	457394	Bacteroides sp. 4_3_47FAA	Bacteroides sp. 4_3_47FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457394	Bacteroides_sp_4_3_47FAA	10094059
91	Bacteroides_sp_9_1_42FAA	457395	Bacteroides sp. 9_1_42FAA	Bacteroides sp. 9_1_42FAA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	457395	Bacteroides_sp_9_1_42FAA	10532775
92	Bacteroides_sp_D1	556258	Bacteroides sp. D1	Bacteroides sp. D1	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	556258	Bacteroides_sp_D1	11102753
93	Bacteroides_sp_D2	556259	Bacteroides sp. D2	Bacteroides sp. D2	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	556259	Bacteroides_sp_D2	13087398
94	Bacteroides_sp_D20	585543	Bacteroides sp. D20	Bacteroides sp. D20	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	585543	Bacteroides_sp_D20	8447481
95	Bacteroides_sp_D22	585544	Bacteroides sp. D22	Bacteroides sp. D22	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	585544	Bacteroides_sp_D22	11803547
96	Bacteroides_stercoris_ATCC_43183	449673	Bacteroides stercoris ATCC 43183	Bacteroides stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	449673	Bacteroides_stercoris_ATCC_43183	7748396
97	Bacteroides_thetaiotaomicron_VPI_5482	226186	Bacteroides thetaiotaomicron VPI-5482	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	226186	Bacteroides_thetaiotaomicron_VPI_5482	11936258
98	Bacteroides_uniformis_ATCC_8492	411479	Bacteroides uniformis ATCC 8492	Bacteroides uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	411479	Bacteroides_uniformis_ATCC_8492	9102744
99	Bacteroides_ureolyticus_DSM_20703	1121102	Campylobacter ureolyticus DSM 20703	Campylobacter ureolyticus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	1121102	Bacteroides_ureolyticus_DSM_20703	3466823
100	Bacteroides_vulgatus_ATCC_8482	435590	Phocaeicola vulgatus ATCC 8482	Phocaeicola vulgatus	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	435590	Bacteroides_vulgatus_ATCC_8482	9762279
101	Bacteroides_xylanisolvens_SD_CC_1b	702447	Bacteroides xylanisolvens SD CC 1b	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	702447	Bacteroides_xylanisolvens_SD_CC_1b	11750585
102	Bartonella_quintana_Toulouse	283165	Bartonella quintana str. Toulouse	Bartonella quintana	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	283165	Bartonella_quintana_Toulouse	2805876
103	Bifidobacterium_adolescentis_ATCC_15703	367928	Bifidobacterium adolescentis ATCC 15703	Bifidobacterium adolescentis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	367928	Bifidobacterium_adolescentis_ATCC_15703	3897247
104	Bifidobacterium_angulatum_DSM_20098	518635	Bifidobacterium angulatum DSM 20098 = JCM 7096	Bifidobacterium angulatum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	518635	Bifidobacterium_angulatum_DSM_20098	3703508
105	Bifidobacterium_animalis_lactis_AD011	442563	Bifidobacterium animalis subsp. lactis AD011	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	442563	Bifidobacterium_animalis_lactis_AD011	3592737
106	Bifidobacterium_animalis_lactis_BB_12	552531	Bifidobacterium animalis subsp. lactis BB-12	Bifidobacterium animalis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	552531	Bifidobacterium_animalis_lactis_BB_12	3628471
