,fluxes,reduced_costs
transcription_TU_592015.5.peg.265,1.5690862392753713e-07,-1.225022640533473e-32
translation_592015.5.peg.266,1.6139440684865696e-10,-5.902746904109311e-32
transcription_TU_592015.5.peg.266,3.897836948579613e-12,1.0611448304491613e-32
translation_592015.5.peg.270,6.497021761076058e-06,1.6399013130056182e-33
transcription_TU_592015.5.peg.270,1.5690959786354444e-07,-3.640083046407037e-33
translation_592015.5.peg.274,0.0,5.66615794975441e-33
transcription_TU_592015.5.peg.274,0.0,1.572717241892873e-33
translation_592015.5.peg.277,0.0,1.0522887757319052e-33
transcription_TU_592015.5.peg.277,0.0,-34.90849743079678
translation_592015.5.peg.278,0.0,1.5785246196149598e-33
transcription_TU_592015.5.peg.278,0.0,-6.935647954929673e-33
translation_592015.5.peg.282,0.0,-5.577006183003619e-32
transcription_TU_592015.5.peg.282,0.0,-56.23645361881344
translation_592015.5.peg.295,7.609843932324803e-18,-4.934010045501091e-32
transcription_TU_592015.5.peg.295,1.8378537045682525e-19,-1.6794201496485876e-32
translation_592015.5.peg.298,0.0,1.6958443919300895e-32
transcription_TU_592015.5.peg.298,0.0,-3.8827975928160795e-34
translation_592015.5.peg.299,0.0,-4.5247487128861166e-33
transcription_TU_592015.5.peg.299,0.0,-48.58010276061574
translation_592015.5.peg.300,0.0,-5.177009317291429e-33
transcription_TU_592015.5.peg.300,0.0,-41.69735125747528
translation_592015.5.peg.301,0.0,8.050602668622529e-33
transcription_TU_592015.5.peg.301,0.0,8.387391546290159e-32
translation_592015.5.peg.304,5.5869904460504847e-08,-5.0120013081941804e-33
transcription_TU_592015.5.peg.304,1.349314280289639e-09,1.4627479293147225e-32
translation_592015.5.peg.305,5.5869904460504847e-08,-3.0086112093242425e-35
transcription_TU_592015.5.peg.305,1.349314280289639e-09,-1.157761946039822e-32
translation_592015.5.peg.308,0.0,-3.726843349016455e-32
transcription_TU_592015.5.peg.308,0.0,-57.87375696788475
translation_592015.5.peg.309,-3.633803454843564e-28,-7.759720576284562e-32
transcription_TU_592015.5.peg.309,0.0,-7.739674797914746e-33
translation_592015.5.peg.310,0.0,-3.209370455230603e-33
